,戳る(秅),糹基,禦芥舦,秨絃基,程蔼基,程基,程Θユ基,挡衡基,絃ユ琿Θユ秖,ユ琿Θユ秖,璸Θユ秖,ゼ≧綪秖
,202012W1,12300,Call,-,-,-,-,-,24,0,24,0
TXO,202012W1,12300,Put,0.3,0.3,0.3,0.3,-,0,1,1,1019
TXO,202012W1,12400,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,12400,Put,0.1,0.1,0.1,0.1,-,0,8,8,908
TXO,202012W1,12500,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,12500,Put,-,-,-,-,-,29,0,29,487
TXO,202012W1,12600,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,12600,Put,0.3,0.3,0.2,0.2,-,0,9,9,947
TXO,202012W1,12700,Call,-,-,-,-,-,0,0,0,1
TXO,202012W1,12700,Put,0.2,0.2,0.2,0.2,-,368,5,373,670
TXO,202012W1,12800,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,12800,Put,0.1,0.3,0.1,0.3,-,359,39,398,815
TXO,202012W1,12900,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,12900,Put,0.2,0.2,0.2,0.2,-,1,3,4,1194
TXO,202012W1,13000,Call,-,-,-,-,-,0,0,0,1
TXO,202012W1,13000,Put,0.1,0.2,0.1,0.2,-,195,17,212,3705
TXO,202012W1,13100,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,13100,Put,0.2,0.4,0.1,0.1,-,66,76,142,2677
TXO,202012W1,13200,Call,735,735,735,735,-,0,1,1,2
TXO,202012W1,13200,Put,0.2,0.3,0.1,0.2,-,148,96,244,3606
TXO,202012W1,13300,Call,-,-,-,-,-,0,0,0,5
TXO,202012W1,13300,Put,0.3,0.3,0.1,0.1,-,171,494,665,7722
TXO,202012W1,13350,Call,-,-,-,-,-,5,0,5,7
TXO,202012W1,13350,Put,0.3,0.3,0.1,0.1,-,277,163,440,4881
TXO,202012W1,13400,Call,495,575,495,575,-,0,10,10,14
TXO,202012W1,13400,Put,0.3,0.3,0.1,0.3,-,239,709,948,7568
TXO,202012W1,13450,Call,500,520,500,520,-,1,56,57,26
TXO,202012W1,13450,Put,0.4,0.6,0.1,0.3,-,384,1433,1817,12576
TXO,202012W1,13500,Call,437,448,427,448,-,0,8,8,176
TXO,202012W1,13500,Put,0.3,0.6,0.1,0.1,-,990,1684,2674,9121
TXO,202012W1,13550,Call,385,430,339,407,-,37,7,44,174
TXO,202012W1,13550,Put,0.6,0.6,0.1,0.2,-,940,2009,2949,18397
TXO,202012W1,13600,Call,341,395,291,380,-,142,76,218,498
TXO,202012W1,13600,Put,0.9,0.9,0.1,0.1,-,2424,1426,3850,9579
TXO,202012W1,13650,Call,282,338,238,326,-,411,276,687,1201
TXO,202012W1,13650,Put,1.1,1.1,0.1,0.2,-,5223,4617,9840,9927
TXO,202012W1,13700,Call,240,294,180,280,-,1629,895,2524,1902
TXO,202012W1,13700,Put,1.2,1.7,0.1,0.1,-,8685,8501,17186,16524
TXO,202012W1,13750,Call,175,242,131,230,-,4426,3849,8275,3017
TXO,202012W1,13750,Put,2,3.4,0.1,0.1,-,11206,20279,31485,15623
TXO,202012W1,13800,Call,145,196,85,181,-,12708,14267,26975,3886
TXO,202012W1,13800,Put,3.1,7.3,0.1,0.1,-,22386,36008,58394,20722
TXO,202012W1,13850,Call,101,145,46,131,-,23987,28185,52172,5855
TXO,202012W1,13850,Put,8.7,18,0.1,0.1,-,24164,59003,83167,20088
TXO,202012W1,13900,Call,60,97,17.5,81,-,36671,78551,115222,7684
TXO,202012W1,13900,Put,17,39.5,0.1,0.1,-,25871,95313,121184,19145
TXO,202012W1,13950,Call,30,46.5,4.9,31,-,27191,144114,171305,13389
TXO,202012W1,13950,Put,37.5,77,0.1,0.2,-,12705,91361,104066,19527
TXO,202012W1,14000,Call,9.5,17.5,0.1,0.1,-,19933,93381,113314,26460
TXO,202012W1,14000,Put,70,123,9.7,19,-,7154,62379,69533,5493
TXO,202012W1,14050,Call,3.7,6.5,0.1,0.2,-,11261,25530,36791,17128
TXO,202012W1,14050,Put,113,172,54,69,-,759,7976,8735,639
TXO,202012W1,14100,Call,2.9,2.9,0.1,0.1,-,5355,9385,14740,14303
TXO,202012W1,14100,Put,165,223,105,119,-,93,1440,1533,208
TXO,202012W1,14150,Call,0.6,1,0.1,0.1,-,1822,1505,3327,5020
TXO,202012W1,14150,Put,215,215,158,171,-,22,48,70,61
TXO,202012W1,14200,Call,0.4,0.4,0.1,0.1,-,271,576,847,6441
TXO,202012W1,14200,Put,280,312,214,214,-,15,108,123,41
TXO,202012W1,14250,Call,0.2,0.3,0.1,0.1,-,32,116,148,5782
TXO,202012W1,14250,Put,-,-,-,-,-,0,0,0,0
TXO,202012W1,14300,Call,0.2,0.3,0.1,0.2,-,53,716,769,8519
TXO,202012W1,14300,Put,-,-,-,-,-,10,0,10,11
TXO,202012W1,14400,Call,0.3,0.3,0.1,0.3,-,31,81,112,2608
TXO,202012W1,14400,Put,-,-,-,-,-,0,0,0,2
TXO,202012W1,14500,Call,-,-,-,-,-,2,0,2,1255
TXO,202012W1,14500,Put,-,-,-,-,-,2,0,2,1
TXO,202012W1,14600,Call,-,-,-,-,-,20,0,20,1078
TXO,202012W1,14600,Put,-,-,-,-,-,0,0,0,20
TXO,202012W1,14700,Call,-,-,-,-,-,0,0,0,829
TXO,202012W1,14700,Put,-,-,-,-,-,0,0,0,0
TXO,202012W1,14800,Call,-,-,-,-,-,0,0,0,124
TXO,202012W1,14800,Put,-,-,-,-,-,0,0,0,0
TXO,202012W1,14900,Call,-,-,-,-,-,0,0,0,15
TXO,202012W1,14900,Put,-,-,-,-,-,0,0,0,0
TXO,202012W1,15000,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,15000,Put,-,-,-,-,-,0,0,0,0
TXO,202012W1,15200,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,15200,Put,-,-,-,-,-,0,0,0,0
TXO,202012W1,15400,Call,-,-,-,-,-,0,0,0,0
TXO,202012W1,15400,Put,-,-,-,-,-,0,0,0,0
TXO,202012W2,12400,Call,-,-,-,-,1580,0,0,0,0
