,戳る(秅),糹基,禦芥舦,秨絃基,程蔼基,程基,程Θユ基,挡衡基,絃ユ琿Θユ秖,ユ琿Θユ秖,璸Θユ秖,ゼ≧綪秖
,200201,4900,Call,720,750,720,750,750,0,5,5,36
TXO,200201,4900,Put,10,25,10,25,25,0,18,18,233
TXO,200201,5000,Call,-,-,-,-,615,0,0,0,38
TXO,200201,5000,Put,40,40,21,21,21,0,3,3,91
TXO,200201,5100,Call,540,540,540,540,540,0,1,1,139
TXO,200201,5100,Put,40,45,30,30,30,0,14,14,112
TXO,200201,5200,Call,400,440,75,440,440,0,8,8,184
TXO,200201,5200,Put,71,80,40,40,40,0,24,24,157
TXO,200201,5300,Call,296,400,296,400,400,0,23,23,301
TXO,200201,5300,Put,110,110,55,65,65,0,54,54,186
TXO,200201,5400,Call,255,302,195,300,300,0,21,21,163
TXO,200201,5400,Put,90,130,80,95,95,0,16,16,105
TXO,200201,5500,Call,180,251,151,251,251,0,65,65,265
TXO,200201,5500,Put,180,199,106,135,135,0,36,36,122
TXO,200201,5600,Call,100,200,100,200,200,0,23,23,18
TXO,200201,5600,Put,180,180,160,160,160,0,5,5,5
TXO,200201,5700,Call,90,150,75,130,130,0,133,133,105
TXO,200201,5700,Put,210,301,200,200,200,0,15,15,12
TXO,200202,4900,Call,730,730,730,730,730,0,5,5,18
TXO,200202,4900,Put,-,-,-,-,62,0,0,0,6
TXO,200202,5000,Call,650,650,650,650,650,0,5,5,10
TXO,200202,5000,Put,-,-,-,-,82,0,0,0,1
TXO,200202,5100,Call,-,-,-,-,625,0,0,0,67
TXO,200202,5100,Put,-,-,-,-,106,0,0,0,1
TXO,200202,5200,Call,-,-,-,-,555,0,0,0,141
TXO,200202,5200,Put,-,-,-,-,135,0,0,0,10
TXO,200202,5300,Call,-,-,-,-,490,0,0,0,57
TXO,200202,5300,Put,-,-,-,-,168,0,0,0,0
TXO,200202,5400,Call,-,-,-,-,429,0,0,0,1
TXO,200202,5400,Put,-,-,-,-,207,0,0,0,0
TXO,200202,5500,Call,-,-,-,-,374,0,0,0,0
TXO,200202,5500,Put,135,135,135,135,135,0,1,1,11
TXO,200202,5600,Call,-,-,-,-,323,0,0,0,0
TXO,200202,5600,Put,-,-,-,-,299,0,0,0,0
TXO,200202,5700,Call,100,100,100,100,100,0,2,2,2
TXO,200202,5700,Put,-,-,-,-,353,0,0,0,0
TXO,200203,4900,Call,-,-,-,-,840,0,0,0,0
TXO,200203,4900,Put,-,-,-,-,108,0,0,0,0
TXO,200203,5000,Call,-,-,-,-,765,0,0,0,0
TXO,200203,5000,Put,-,-,-,-,134,0,0,0,0
TXO,200203,5100,Call,-,-,-,-,695,0,0,0,0
TXO,200203,5100,Put,-,-,-,-,163,0,0,0,0
TXO,200203,5200,Call,-,-,-,-,630,0,0,0,0
TXO,200203,5200,Put,-,-,-,-,196,0,0,0,0
TXO,200203,5300,Call,-,-,-,-,565,0,0,0,10
TXO,200203,5300,Put,-,-,-,-,233,0,0,0,0
TXO,200203,5400,Call,-,-,-,-,510,0,0,0,0
TXO,200203,5400,Put,-,-,-,-,275,0,0,0,0
TXO,200203,5500,Call,-,-,-,-,456,0,0,0,0
TXO,200203,5500,Put,-,-,-,-,320,0,0,0,0
TXO,200203,5600,Call,-,-,-,-,406,0,0,0,0
TXO,200203,5600,Put,-,-,-,-,370,0,0,0,0
TXO,200203,5700,Call,-,-,-,-,361,0,0,0,0
TXO,200203,5700,Put,-,-,-,-,424,0,0,0,0
TXO,200206,4700,Call,-,-,-,-,1140,0,0,0,0
TXO,200206,4700,Put,-,-,-,-,174,0,0,0,0
TXO,200206,4900,Call,-,-,-,-,1000,0,0,0,0
TXO,200206,4900,Put,-,-,-,-,234,0,0,0,0
TXO,200206,5100,Call,-,-,-,-,875,0,0,0,0
TXO,200206,5100,Put,-,-,-,-,304,0,0,0,0
TXO,200206,5300,Call,-,-,-,-,760,0,0,0,0
TXO,200206,5300,Put,378,378,378,378,378,0,10,10,10
TXO,200206,5500,Call,-,-,-,-,655,0,0,0,1
TXO,200206,5500,Put,-,-,-,-,479,0,0,0,10
TXO,200206,5700,Call,-,-,-,-,560,0,0,0,0
TXO,200206,5700,Put,-,-,-,-,580,0,0,0,0
TXO,200206,5900,Call,-,-,-,-,481,0,0,0,0
TXO,200206,5900,Put,-,-,-,-,695,0,0,0,0
TXO,200209,4700,Call,-,-,-,-,1260,0,0,0,0
TXO,200209,4700,Put,-,-,-,-,263,0,0,0,0
TXO,200209,4900,Call,-,-,-,-,1130,0,0,0,0
TXO,200209,4900,Put,-,-,-,-,331,0,0,0,0
TXO,200209,5100,Call,-,-,-,-,1010,0,0,0,0
TXO,200209,5100,Put,-,-,-,-,408,0,0,0,0
TXO,200209,5300,Call,-,-,-,-,905,0,0,0,0
TXO,200209,5300,Put,-,-,-,-,495,0,0,0,0
TXO,200209,5500,Call,-,-,-,-,805,0,0,0,0
TXO,200209,5500,Put,650,650,650,650,650,0,10,10,0
TXO,200209,5700,Call,-,-,-,-,715,0,0,0,0
TXO,200209,5700,Put,-,-,-,-,695,0,0,0,0
TXO,200209,5900,Call,-,-,-,-,635,0,0,0,0
TXO,200209,5900,Put,-,-,-,-,810,0,0,0,0
