券商買賣股票成交價量資訊
股票代碼,="2509"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1023合庫高雄,18.40,2000,0,,2,1023合庫高雄,18.75,0,2000 
3,102A合庫新竹,18.80,0,5000,,4,1040臺    銀,18.45,10000,0 
5,1110企    銀,18.45,0,70000,,6,1110企    銀,18.50,0,12000 
7,1110企    銀,18.55,2000,0,,8,1110企    銀,18.60,1000,0 
9,1110企    銀,18.75,0,4000,,10,1163日盛台中,18.45,1000,0 
11,1163日盛台中,18.60,0,1000,,12,1168日盛高雄,18.55,521,0 
13,116C日盛八德,18.45,1000,0,,14,116C日盛八德,18.55,0,188 
15,116G日盛景美,18.45,0,1000,,16,116M日盛屏東,18.40,2000,0 
17,116M日盛屏東,18.45,1000,0,,18,116P日盛信義,18.40,0,101000 
19,116P日盛信義,18.45,8000,101000,,20,116P日盛信義,18.50,3000,30000 
21,116P日盛信義,18.55,3000,7000,,22,116P日盛信義,18.60,1000,8000 
23,116P日盛信義,18.75,1000,0,,24,116S日盛新莊,18.50,1000,0 
25,126L宏遠台中,18.40,10000,0,,26,1440美林,18.40,0,1000 
27,1440美林,18.50,3000,0,,28,1440美林,18.55,1000,0 
29,1590花旗環球,18.40,0,2000,,30,1590花旗環球,18.45,2000,2000 
31,1590花旗環球,18.50,3000,0,,32,5261大慶蘆洲,18.40,2000,0 
33,5381第一員林,18.45,20000,0,,34,5381第一員林,18.50,1000,0 
35,5381第一員林,18.55,8000,0,,36,585I統一員林,18.45,10000,0 
37,585I統一員林,18.50,16000,0,,38,585I統一員林,18.60,0,1000 
39,585I統一員林,18.70,0,4000,,40,585I統一員林,18.75,0,2000 
41,585J統一三重,18.40,3000,0,,42,585U統一南京,18.65,480,0 
43,592c元富烏日,18.45,2000,0,,44,592c元富烏日,18.50,3000,0 
45,592N元富虎尾,18.45,1000,0,,46,5961日茂埔里,18.45,1000,0 
47,601d�W亞鑫豐,18.45,6000,0,,48,601d�W亞鑫豐,18.75,0,5000 
49,6110台中銀,18.40,11000,0,,50,6110台中銀,18.45,22000,5000 
51,6110台中銀,18.50,2000,21000,,52,6110台中銀,18.55,0,8000 
53,6110台中銀,18.60,0,1000,,54,6162中信託忠,18.40,2000,0 
