公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,7813036,7866517,8545853,-0.67,-8.57,40666734,46444313,-12.43,-
1102,亞泥,5232410,5339750,5516532,-2.01,-5.15,29129660,32313659,-9.85,-
1103,嘉泥,277433,342029,143719,-18.88,93.03,1361693,1408730,-3.33,本月營收較去年同期增加主係大陸水泥子公司去年同期依法進行環保設備改善工程停窯所致
1104,環泥,370788,421157,411286,-11.95,-9.84,2325466,2558215,-9.09,-
1108,幸福,337842,391241,441613,-13.64,-23.49,2103103,2637255,-20.25,-
1109,信大,325387,394265,325459,-17.46,-0.02,2006524,2052241,-2.22,-
1110,東泥,119422,138201,167928,-13.58,-28.88,787588,958841,-17.86,-
1201,味全,1668901,1635617,1891535,2.03,-11.77,8147614,10228623,-20.34,-
1203,味王,521923,535793,588358,-2.58,-11.29,3121979,3345067,-6.66,-
1210,大成,6273286,6019684,6191953,4.21,1.31,36044964,39025125,-7.63,-
1213,大飲,70686,46454,73269,52.16,-3.52,312894,346534,-9.7,-
1215,卜蜂,1516521,1471665,1349534,3.04,12.37,8593701,7937950,8.26,-
1216,統一,35837446,35180192,36605427,1.86,-2.09,211537939,209973234,0.74,-
1217,愛之味,413384,324102,466578,27.54,-11.4,1922434,2162089,-11.08,愛之味104年9月17日喪失對第一生技(股)公司控制權，104年9月17日起該公司營收不納入愛之味合併營收。
1218,泰山,704442,694823,707024,1.38,-0.36,3853843,3941166,-2.21,-
1219,福壽,985653,877293,841818,12.35,17.08,5356572,4631512,15.65,-
1220,台榮,262765,275259,265932,-4.53,-1.19,1428305,1600733,-10.77,-
1225,福懋油,882849,887891,933214,-0.56,-5.39,5242436,5340279,-1.83,-
1227,佳格,1869329,1721994,1971908,8.55,-5.2,12656000,12376415,2.25,-
1229,聯華,430845,452984,436366,-4.88,-1.26,2641865,2562244,3.1,-
1231,聯華食,560555,486314,540227,15.26,3.76,3203219,3142068,1.94,-
1232,大統益,1444989,1427668,1379681,1.21,4.73,8171510,8941200,-8.6,-
1233,天仁,179556,172892,156402,3.85,14.8,1082439,1065839,1.55,-
1234,黑松,841229,737073,611734,14.13,37.51,3934002,2861930,37.45,-
1235,興泰,24396,9950,10682,145.18,128.38,59105,48893,20.88,"10506合併子公司出售股票淨利16,466千元"
1236,宏亞,118557,113256,124304,4.68,-4.62,951158,1118766,-14.98,-
1702,南僑,1435185,1387065,1311253,3.46,9.45,7859828,7384359,6.43,-
1737,臺鹽,247786,258687,250668,-4.21,-1.14,1358515,1368045,-0.69,-
1301,台塑,14704159,14891679,16177168,-1.25,-9.1,87581403,98704477,-11.26,-
1303,南亞,21300798,23324617,26187624,-8.67,-18.66,133713162,161549601,-17.23,-
1304,台聚,4524691,4302748,4463759,5.15,1.36,26042914,27154155,-4.09,-
1305,華夏,1176219,1116532,1186984,5.34,-0.9,7293290,7345968,-0.71,-
1307,三芳,787283,800353,794811,-1.63,-0.94,5584862,5525474,1.07,-
1308,亞聚,445917,371912,349319,19.89,27.65,2618457,2487483,5.26,-
1309,台達化,1388032,1363811,1582191,1.77,-12.27,7851230,9101332,-13.73,-
1310,台苯,1000756,1067961,1387482,-6.29,-27.87,6774362,6468142,4.73,-
1312,國喬,1768889,1420232,1972823,24.54,-10.33,9109568,11025764,-17.37,-
1313,聯成,3585274,3203533,3672396,11.91,-2.37,19286486,22723339,-15.12,-
1314,中石化,2080205,2024654,2703880,2.74,-23.06,11481843,15051433,-23.71,-
1315,達新,301669,170743,256893,76.68,17.42,1362267,1325917,2.74,-
1321,大洋,373327,356089,383392,4.84,-2.62,2132429,2454002,-13.1,-
1323,永裕,277145,275585,270385,0.56,2.5,1544931,1508963,2.38,-
1324,地球,108979,122206,113244,-10.82,-3.76,614137,645081,-4.79,-
1325,恆大,81088,95752,85996,-15.31,-5.7,509366,563575,-9.61,-
1326,台化,27277277,27122513,28684775,0.57,-4.9,157074034,171477223,-8.39,-
4306,炎洲,1440159,1522857,1535088,-5.43,-6.18,8570700,8676417,-1.21,-
1402,遠東新,18654776,18227706,18551613,2.34,0.55,106544424,108974487,-2.22,-
1409,新纖,2708812,2784383,2893400,-2.71,-6.37,16636954,18487198,-10.0,-
1410,南染,52810,55335,60032,-4.56,-12.03,310916,319960,-2.82,-
1413,宏洲,192335,190149,214293,1.14,-10.24,1014272,1318556,-23.07,-
1414,東和,88214,90080,79191,-2.07,11.39,470751,581110,-18.99,-
1417,嘉裕,232136,229310,342095,1.23,-32.14,1576909,1746760,-9.72,-
1418,東華,153026,84473,164097,81.15,-6.74,889848,740012,20.24,-
1419,新紡,104427,110773,61726,-5.72,69.17,613975,509674,20.46,客戶出貨時間差異
1423,利華,47210,62328,59431,-24.25,-20.56,329539,356852,-7.65,-
1434,福懋,3175045,3449394,3573970,-7.95,-11.16,20794378,22629881,-8.11,-
1439,中和,21932,29551,18109,-25.78,21.11,186569,184446,1.15,-
1440,南紡,1626286,1629072,2044299,-0.17,-20.44,8992358,11244388,-20.02,-
1441,大東,111012,140899,148609,-21.21,-25.29,835125,952000,-12.27,-
1443,立益,100217,91316,130155,9.74,-23.0,557951,628640,-11.24,-
1444,力麗,754939,836679,816080,-9.76,-7.49,4849646,5434868,-10.76,-
1445,大宇,150361,144931,143829,3.74,4.54,836026,929014,-10.0,-
1446,宏和,119155,48279,97244,146.8,22.53,475249,417295,13.88,-
1447,力鵬,1135185,1119019,1497168,1.44,-24.17,6840476,9633019,-28.98,-
1449,佳和,249673,269417,237162,-7.32,5.27,1416286,1426359,-0.7,-
1451,年興,1142375,1325458,1183802,-13.81,-3.49,6622623,6245534,6.03,-
1452,宏益,162969,158431,154946,2.86,5.17,966690,1066202,-9.33,-
1453,大將,5354,5957,42432,-10.12,-87.38,26034,296865,-91.23,本月及本年累計營收減少，係因北投首驛建案去年6月有2戶，去年累計有13戶交屋入帳，而本月及本年累計並無建案入帳。
1454,台富,180325,164294,190535,9.75,-5.35,930019,1086932,-14.43,-
1455,集盛,994564,1072287,1216044,-7.24,-18.21,6286915,8221062,-23.52,-
1456,怡華,38275,38779,41944,-1.29,-8.74,220697,274328,-19.54,-
1457,宜進,375548,410136,443383,-8.43,-15.29,2363420,1800137,31.29,-
1459,聯發,212051,221701,293069,-4.35,-27.64,1427783,1979208,-27.86,-
1460,宏遠,573595,707436,523246,-18.91,9.62,4145575,3969068,4.44,-
1463,強盛,37996,46994,39120,-19.14,-2.87,261867,259094,1.07,-
1464,得力,489210,584511,443579,-16.3,10.28,3543152,3089191,14.69,-
1465,偉全,164667,132021,213724,24.72,-22.95,934596,1166770,-19.89,-
1466,聚隆,304375,322720,316499,-5.68,-3.83,1800358,2090568,-13.88,-
1467,南緯,575192,524465,593715,9.67,-3.11,3384854,3332790,1.56,-
1468,昶和,59220,46268,40573,27.99,45.95,331349,359676,-7.87,-
1470,大統新創,44457,51491,60719,-13.66,-26.78,349479,398195,-12.23,-
1472,三洋紡,64421,50527,59317,27.49,8.6,311550,389676,-20.04,-
1473,台南,818276,555068,801614,47.41,2.07,4916120,4495133,9.36,-
1474,弘裕,270753,257527,279964,5.13,-3.29,1658539,1744325,-4.91,-
1475,業旺,19120,19282,21122,-0.84,-9.47,101274,108005,-6.23,-
1476,儒鴻,1954437,1847151,2254273,5.8,-13.3,11419673,11426585,-0.06,-
1477,聚陽,1566141,1425521,1842708,9.86,-15.0,10901506,10757296,1.34,-
4414,如興,281105,268074,224588,4.86,25.16,1480024,1188566,24.52,-
4426,利勤,186422,170334,163214,9.44,14.21,1258198,1011678,24.36,-
4438,廣越,1302115,741876,1406501,75.51,-7.42,2931525,2848995,2.89,-
1503,士電,1909756,1728761,1630266,10.46,17.14,10250408,9718162,5.47,-
1504,東元,4420411,4212825,4358304,4.92,1.42,24494295,23893111,2.51,-
1506,正道,149379,136034,155481,9.81,-3.92,822813,796996,3.23,-
1507,永大,1564801,1685019,1909371,-7.13,-18.04,10089310,11288823,-10.62,此為本公司自結數
1513,中興電,774482,1040907,966162,-25.59,-19.83,5864591,4549277,28.91,-
1514,亞力,366218,278785,440034,31.36,-16.77,2064168,1716803,20.23,-
1515,力山,400077,335370,268727,19.29,48.87,1754427,1450412,20.96,客戶銷售狀況好增加採購量
1517,利奇,240084,248091,301269,-3.22,-20.3,1459281,1785427,-18.26,-
1519,華城,781845,397684,568142,96.59,37.61,2975543,2366478,25.73,-
1526,日馳,95030,83160,97958,14.27,-2.98,459113,456070,0.66,-
1527,鑽全,401645,386912,273734,3.8,46.72,2116746,1696618,24.76,-
1528,恩德,389232,260161,334252,49.61,16.44,1775002,1704254,4.15,-
1529,樂士,2048,29159,5218,-92.97,-60.75,134213,51453,160.84,"本月因電材交貨少,故營收較少;本年累計,因太陽能電廠統包工程收入,故營收增幅大"
