,戳る(秅),糹基,禦芥舦,秨絃基,程蔼基,程基,程Θユ基,挡衡基,絃ユ琿Θユ秖,ユ琿Θユ秖,璸Θユ秖,ゼ≧綪秖
,202007W1,10400,Call,-,-,-,-,1080,0,0,0,0
TXO,202007W1,10400,Put,2.6,2.6,0.2,0.5,0.5,417,244,661,587
TXO,202007W1,10500,Call,-,-,-,-,985,0,0,0,1
TXO,202007W1,10500,Put,2.3,2.3,0.5,0.9,0.7,296,339,635,542
TXO,202007W1,10600,Call,930,940,860,860,885,0,6,6,0
TXO,202007W1,10600,Put,2.8,2.8,0.6,0.8,0.8,475,1128,1603,1374
TXO,202007W1,10700,Call,850,850,825,845,785,10,10,20,2
TXO,202007W1,10700,Put,3.8,3.8,0.7,1,1,483,1101,1584,1067
TXO,202007W1,10800,Call,740,740,730,730,685,2,8,10,2
TXO,202007W1,10800,Put,4.4,4.6,1,1.3,1.3,1204,3752,4956,4283
TXO,202007W1,10900,Call,-,-,-,-,585,0,0,0,0
TXO,202007W1,10900,Put,5.7,5.7,1.3,2.1,2.1,2152,3575,5727,5431
TXO,202007W1,11000,Call,500,500,481,481,487,42,6,48,31
TXO,202007W1,11000,Put,18,18,2,3.7,3.7,3897,8330,12227,5703
TXO,202007W1,11100,Call,396,396,375,375,390,20,21,41,42
TXO,202007W1,11100,Put,20,20,3.4,6.7,6.7,3992,13416,17408,6130
TXO,202007W1,11200,Call,313,336,271,296,296,57,38,95,55
TXO,202007W1,11200,Put,35,35,6.5,11.5,11.5,6116,24746,30862,10207
TXO,202007W1,11300,Call,237,282,177,209,209,84,442,526,168
TXO,202007W1,11300,Put,36,40,13,23.5,23.5,5140,22586,27726,9482
TXO,202007W1,11350,Call,238,238,138,164,164,108,1745,1853,557
TXO,202007W1,11350,Put,53,59,18,33.5,33.5,4520,14033,18553,4968
TXO,202007W1,11400,Call,174,195,105,130,130,349,8403,8752,2991
TXO,202007W1,11400,Put,64,80,25.5,46,46,11265,24784,36049,8336
TXO,202007W1,11450,Call,130,156,75,96,96,583,16590,17173,7916
TXO,202007W1,11450,Put,74,86,35,61,61,4387,19484,23871,5836
TXO,202007W1,11500,Call,110,139,50,65,65,1294,22126,23420,5761
TXO,202007W1,11500,Put,100,111,49,85,85,7317,24093,31410,6037
TXO,202007W1,11550,Call,80,87,31,42.5,42.5,2906,25056,27962,5756
TXO,202007W1,11550,Put,120,142,66,109,109,6041,16338,22379,3839
TXO,202007W1,11600,Call,49,59,17,25.5,25.5,6754,31607,38361,11148
TXO,202007W1,11600,Put,150,178,90,141,141,9817,11103,20920,2783
TXO,202007W1,11650,Call,36.5,38.5,9,13,13,8335,28292,36627,11467
TXO,202007W1,11650,Put,169,219,118,173,180,3717,4241,7958,1726
TXO,202007W1,11700,Call,16,23,4.1,6.6,6.6,8553,30416,38969,12174
TXO,202007W1,11700,Put,214,264,153,225,225,1366,1520,2886,918
TXO,202007W1,11750,Call,8,12,2.2,3.4,3.4,7201,20878,28079,9948
TXO,202007W1,11750,Put,250,312,192,275,275,345,665,1010,255
TXO,202007W1,11800,Call,6.9,7.4,1.3,1.7,1.7,9448,12036,21484,6239
TXO,202007W1,11800,Put,309,350,238,313,320,391,233,624,182
TXO,202007W1,11850,Call,4,4,0.8,1,1,6104,7527,13631,4834
TXO,202007W1,11850,Put,346,370,299,370,370,21,12,33,52
TXO,202007W1,11900,Call,2.2,2.3,0.6,0.7,0.7,3525,3877,7402,4574
TXO,202007W1,11900,Put,363,433,343,431,420,26,21,47,27
TXO,202007W1,11950,Call,2,2,0.5,0.5,0.5,704,1019,1723,1293
TXO,202007W1,11950,Put,436,471,415,471,470,50,17,67,31
TXO,202007W1,12000,Call,1.4,1.4,0.4,0.4,0.4,1044,964,2008,1624
TXO,202007W1,12000,Put,462,515,462,515,520,45,12,57,23
TXO,202007W1,12100,Call,0.8,0.8,0.2,0.4,0.4,362,1642,2004,1945
TXO,202007W1,12100,Put,560,565,560,565,620,5,2,7,1
TXO,202007W1,12200,Call,0.2,0.2,0.1,0.2,0.2,54,204,258,475
TXO,202007W1,12200,Put,-,-,-,-,720,0,0,0,0
TXO,202007W1,12300,Call,0.2,0.2,0.1,0.1,0.1,8,285,293,208
TXO,202007W1,12300,Put,-,-,-,-,820,0,0,0,0
TXO,202007W1,12400,Call,0.1,0.1,0.1,0.1,0.1,0,40,40,41
TXO,202007W1,12400,Put,-,-,-,-,920,0,0,0,0
TXO,202007W1,12500,Call,0.1,0.1,0.1,0.1,0.1,0,20,20,20
TXO,202007W1,12500,Put,-,-,-,-,1020,0,0,0,0
TXO,202007W1,12600,Call,0.1,0.1,0.1,0.1,0.1,3,25,28,13
TXO,202007W1,12600,Put,-,-,-,-,1120,0,0,0,0
TXO,202007W1,12700,Call,0.1,0.1,0.1,0.1,0.1,0,20,20,0
TXO,202007W1,12700,Put,-,-,-,-,1220,0,0,0,0
TXO,202007W1,12800,Call,-,-,-,-,0.1,110,0,110,60
TXO,202007W1,12800,Put,-,-,-,-,1320,0,0,0,0
TXO,202007W1,12900,Call,0.7,0.7,0.7,0.7,0.1,0,1,1,1
TXO,202007W1,12900,Put,-,-,-,-,1420,0,0,0,0
TXO,202007,8700,Call,-,-,-,-,2670,0,0,0,0
TXO,202007,8700,Put,6.7,6.7,2.8,4.5,4.5,66,925,991,2127
TXO,202007,8800,Call,-,-,-,-,2570,0,0,0,4
TXO,202007,8800,Put,3.3,6.4,3.3,5.4,5.4,24,667,691,573
TXO,202007,8900,Call,-,-,-,-,2470,0,0,0,0
TXO,202007,8900,Put,3.7,7,3.7,5.9,5.9,10,124,134,853
TXO,202007,9000,Call,-,-,-,-,2370,0,0,0,0
TXO,202007,9000,Put,8.3,8.3,4.2,6.4,6.4,48,280,328,1893
TXO,202007,9100,Call,-,-,-,-,2270,0,0,0,0
TXO,202007,9100,Put,9,9,4.8,7.7,7.7,61,187,248,819
TXO,202007,9200,Call,-,-,-,-,2170,0,0,0,0
TXO,202007,9200,Put,6.4,9.6,5.6,8.1,8.1,52,317,369,831
TXO,202007,9300,Call,-,-,-,-,2070,0,0,0,0
TXO,202007,9300,Put,10.5,11,6.2,8.3,8.3,27,657,684,1173
TXO,202007,9400,Call,-,-,-,-,1970,0,0,0,0
TXO,202007,9400,Put,10,12,7,9.7,9.7,51,1046,1097,1987
TXO,202007,9500,Call,-,-,-,-,1870,0,0,0,1
TXO,202007,9500,Put,12.5,13.5,8.3,11,11,15,434,449,1463
TXO,202007,9600,Call,-,-,-,-,1780,0,0,0,2
TXO,202007,9600,Put,14,15,9,12.5,12.5,16,156,172,556
TXO,202007,9700,Call,-,-,-,-,1680,0,0,0,0
TXO,202007,9700,Put,18,18.5,10.5,15,15,23,192,215,644
TXO,202007,9800,Call,-,-,-,-,1580,0,0,0,2
TXO,202007,9800,Put,24,24,12,16,16,82,344,426,1759
TXO,202007,9900,Call,-,-,-,-,1480,0,0,0,10
TXO,202007,9900,Put,20.5,22,14,18.5,18.5,47,363,410,1498
TXO,202007,10000,Call,-,-,-,-,1380,0,0,0,88
TXO,202007,10000,Put,24,28,15.5,21.5,21.5,309,1131,1440,6347
TXO,202007,10100,Call,-,-,-,-,1290,0,0,0,122
TXO,202007,10100,Put,28.5,30,18,24,24,735,857,1592,3407
TXO,202007,10200,Call,1280,1280,1280,1280,1190,2,2,4,784
TXO,202007,10200,Put,32.5,35,21,28,28,116,1232,1348,5830
TXO,202007,10300,Call,-,-,-,-,1100,10,0,10,81
TXO,202007,10300,Put,37.5,40,25,33.5,33.5,272,571,843,4320
